Product_Position,Promotion,Product_Category,Seasonal,Sales_Volume,Original_Price,Discounted_Price,Product_Name
Front of Store,No Discount,Puffer Jacket,Yes,70,80,80,H&M Women Puffer Jacket 001
Near Fitting Rooms,No Discount,Jeans,No,26,60,60,H&M Women Jeans 002
Middle Aisle,No Discount,Wide-Leg Trousers,No,26,20,20,H&M Women Wide-Leg Trousers 003
Window Display,50% Off,Skirt,Yes,95,30,15,H&M Women Skirt 004
Near Fitting Rooms,50% Off,Puffer Jacket,Yes,91,105,52,H&M Women Puffer Jacket 005
Endcap,No Discount,Wide-Leg Trousers,No,138,50,50,H&M Women Wide-Leg Trousers 006
Endcap,20% Off,Winter Coat,Yes,73,60,48,H&M Women Winter Coat 007
Front of Store,30% Off,Blouse,No,166,10,7,H&M Women Blouse 008
Endcap,No Discount,Wide-Leg Trousers,No,117,45,45,H&M Women Wide-Leg Trousers 009
Middle Aisle,No Discount,Blouse,No,52,30,30,H&M Women Blouse 010
Back Wall,20% Off,Puffer Jacket,Yes,105,70,56,H&M Women Puffer Jacket 011
Front of Store,Clearance,Blouse,No,123,15,6,H&M Women Blouse 012
Middle Aisle,20% Off,Blouse,No,96,25,20,H&M Women Blouse 013
Window Display,20% Off,Cardigan,No,68,25,20,H&M Women Cardigan 014
Near Fitting Rooms,No Discount,Puffer Jacket,Yes,83,65,65,H&M Women Puffer Jacket 015
Window Display,30% Off,Skirt,Yes,178,25,18,H&M Women Skirt 016
Window Display,Clearance,Hoodie,No,128,30,15,H&M Women Hoodie 017
Middle Aisle,20% Off,Cardigan,No,42,15,12,H&M Women Cardigan 018
Near Fitting Rooms,20% Off,Wide-Leg Trousers,No,98,25,20,H&M Women Wide-Leg Trousers 019
Middle Aisle,Clearance,Formal Shirt,No,76,35,18,H&M Women Formal Shirt 020
Near Fitting Rooms,50% Off,Skirt,Yes,115,30,15,H&M Women Skirt 021
Middle Aisle,50% Off,Wide-Leg Trousers,No,95,35,18,H&M Women Wide-Leg Trousers 022
Back Wall,30% Off,Jeans,No,134,25,18,H&M Women Jeans 023
Window Display,Clearance,Blouse,No,141,15,5,H&M Women Blouse 024
Middle Aisle,50% Off,Winter Coat,Yes,118,110,55,H&M Women Winter Coat 025
Cash Counter Zone,No Discount,Hoodie,No,107,45,45,H&M Women Hoodie 026
Near Fitting Rooms,50% Off,Blouse,No,174,20,10,H&M Women Blouse 027
Front of Store,20% Off,Cardigan,No,74,30,24,H&M Women Cardigan 028
Near Fitting Rooms,Clearance,Summer Dress,Yes,143,25,8,H&M Women Summer Dress 029
Front of Store,Clearance,Hoodie,No,159,30,9,H&M Women Hoodie 030
Endcap,10% Off,Jeans,No,157,60,54,H&M Women Jeans 031
Back Wall,20% Off,Summer Dress,Yes,17,30,24,H&M Women Summer Dress 032
Endcap,20% Off,Blouse,No,47,15,12,H&M Women Blouse 033
Front of Store,No Discount,Wide-Leg Trousers,No,91,45,45,H&M Women Wide-Leg Trousers 034
Cash Counter Zone,10% Off,Hoodie,No,99,25,22,H&M Women Hoodie 035
Back Wall,10% Off,Formal Shirt,No,82,30,27,H&M Women Formal Shirt 036
